,user,item,rating
0,283229,1,4.0
1,283229,215,5.0
2,283229,356,5.0
3,283229,680,3.0
4,283229,858,4.0
5,283229,899,4.0
6,283229,912,5.0
7,283229,1270,3.5
8,283229,1682,4.5
9,283229,1704,4.0
10,283229,2571,4.0
11,283229,2732,3.5
12,283229,2810,5.0
13,283229,2959,5.0
14,283229,4914,4.0
15,283229,4973,4.5
16,283229,4995,4.5
17,283229,5989,4.5
18,283229,6016,4.5
19,283229,6711,4.0
20,283229,7361,5.0
21,283229,7748,4.5
22,283229,8638,5.0
23,283229,8738,4.0
24,283229,8784,3.0
25,283229,8961,3.5
26,283229,27156,5.0
27,283229,33794,4.0
28,283229,36527,3.5
29,283229,40629,4.5
30,283229,44191,4.5
31,283229,50872,3.5
32,283229,52885,3.5
33,283229,55721,4.5
34,283229,57504,2.5
35,283229,58559,4.5
36,283229,58803,3.0
37,283229,60684,4.5
38,283229,64993,3.5
39,283229,68157,4.0
40,283229,69757,4.5
41,283229,79132,4.5
42,283229,79702,4.5
43,283229,86882,4.0
44,283229,88163,4.0
45,283229,91529,4.5
46,283229,95873,3.5
47,283229,100714,5.0
48,283229,101962,4.0
49,283229,106782,4.5
50,283229,106920,4.5
51,283229,108977,4.5
52,283229,109374,4.0
53,283229,109487,5.0
54,283229,109633,3.5
55,283229,111360,3.0
56,283229,111759,4.0
57,283229,112552,4.5
58,283229,116797,3.5
59,283229,117533,4.5
60,283229,120130,3.0
61,283229,122886,2.5
62,283229,122904,4.0
63,283229,135143,2.5
64,283229,139721,4.0
65,283229,143345,2.5
66,283229,157122,4.0
67,283229,157699,4.0
68,283229,162968,4.5
69,283229,163134,3.5
70,283229,164179,4.0
71,283229,164909,5.0
72,283229,166291,4.0
73,283229,168090,4.5
74,283229,168218,4.5
75,283229,175485,1.0
76,283229,177939,4.5
77,283229,185029,3.0
78,283229,187541,3.5
79,283229,187593,3.5
80,283229,188301,2.0
81,283229,200806,4.0
82,283229,202439,4.5
83,283229,202749,3.5
84,283229,204158,3.5
85,283229,204698,4.5
86,283229,207403,3.5
88,1,89745,4.5
89,1,59315,4.0
90,1,112852,5.0
91,1,122900,4.0
92,1,122904,5.0
93,1,187593,5.0
